---config@码表分类=主码-系统码表
---config@码表别名= 系统词库
啊	a
办成	bjig
半场	bjih
班禅	bjij
搬出	bjiu
不仅仅	bjj
搬进	bjjb
班级	bjji
半径	bjjk
颁奖	bjjl
半角	bjjn
半截	bjjp
斑鸠	bjjq
半句	bjju
不见经传	bjjv
搬家	bjjx
钣	bjjy
不觉技痒	bjjy
版块	bjk
搬开	bjkd
版块	bjkk
半空	bjks
扮酷	bjku
瓣	bjl
办	bjld
办了	bjle
伴郎	bjlh
办理	bjli
斑斓	bjlj
冰激凌	bjlk
半裸	bjlo
半路	bjlu
伴侣	bjlv
背井离乡	bjlx
保加利亚	bjly
板	bjm
斑马	bjma
版面	bjmm
板	bjmy
比基尼	bjn
比基尼	bjni
伴娘	bjnl
半年	bjnm
搬弄	bjns
版	bjp
半拍	bjpd
半瓶	bjpk
半票	bjpn
般配	bjpw
版	bjpy
版权	bjq
搬迁	bjqm
并驾齐驱	bjqq
版权	bjqr
不计其数	bjqu
伴	bjr
伴	bjrb
不仅如此	bjrc
半日	bjri
不近人情	bjrq
不尽人意	bjry
绊	bjs
绊	bjsb
半死	bjsi
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
伴随	bjsv
坂	bjt
半天	bjtm
办妥	bjto
不见天日	bjtr
半桶	bjts
版图	bjtu
坂	bjty
北京市	bju
半身	bjuf
半生	bjug
办事	bjui
北京时间	bjuj
杯酒释兵权	bjuq
半数	bjuu
版税	bjuv
扳手	bjuz
般	bjv
必经之地	bjvd
办证	bjvg
班长	bjvh
败军之将	bjvj
必经之路	bjvl
百家争鸣	bjvm
不解之谜	bjvm
板砖	bjvr
不经之谈	bjvt
版主	bjvu
不解之缘	bjvy
班	bjw
斑纹	bjwf
保家卫国	bjwg
办完	bjwj
伴舞	bjwu
斑	bjww
北极星	bjx
不拘小节	bjxj
颁行	bjxk
扮相	bjxl
半仙	bjxm
办学	bjxt
不经意	bjy
板鸭	bjya
半夜	bjye
别具一格	bjyg
不拘一格	bjyg
搬移	bjyi
扮演	bjyj
半圆	bjyr
搬用	bjys
半月	bjyt
不经一事	bjyu
不经一事不长一智	bjyv
搬运	bjyy
败家子	bjz
班子	bjzi
扮作	bjzo
不进则退	bjzt
班组	bjzu
拌嘴	bjzv
伴奏	bjzz
并	bk
丙	bka
丙	bkan
病	bkb
病	bkbb
冰雹	bkbc
兵败	bkbd
邴	bkbe
冰棒	bkbh
并	bkbk
病变	bkbm
并不	bkbu
闭口不言	bkby
并存	bkc
并存	bkcy
冰	bkd
冰岛	bkdc
不可多得	bkdd
冰灯	bkdg
冰雕	bkdn
冰冻	bkds
病毒	bkdu
摒	bkf
兵法	bkfa
冰封	bkfg
病房	bkfh
摒	bkfk
不可否认	bkfr
并非	bkfw
并购	bkg
禀告	bkgc
病根	bkgf
饼干	bkgj
不可估量	bkgl
不可告人	bkgr
秉公	bkgs
病故	bkgu
冰柜	bkgv
冰棍	bkgy
并购	bkgz
炳	bkh
炳	bkhb
病号	bkhc
病害	bkhd
冰河	bkhe
不可或缺	bkhq
病患	bkhr
不堪回首	bkhu
秉承	bki
秉承	bkig
秉持	bkii
病床	bkil
冰川	bkir
并将	bkj
并进	bkjb
不可兼得	bkjd
并击	bkji
并将	bkjl
并肩	bkjm
冰窖	bkjn
并就	bkjq
并举	bkju
病假	bkjx
病菌	bkjy
不可救药	bkjy
并可	bkk
并可	bkke
不可开交	bkkj
冰块	bkkk
并口	bkkz
冰冷	bkl
病了	bkle
冰冷	bklg
槟榔	bklh
病例	bkli
冰凉	bkll
并联	bklm
并列	bklp
不可理喻	bkly
柄	bkm
槟	bkm
兵马	bkma
百口莫辩	bkmb
禀明	bkmk
病魔	bkmo
不可名状	bkmv
并没	bkmw
不可能	bkn
不可能	bkng
秉	bkp
并排	bkpd
不可偏废	bkpf
秉	bkpn
兵	bkq
兵	bkqb
兵器	bkqi
不可企及	bkqj
病情	bkqk
并且	bkqp
冰球	bkqq
兵权	bkqr
百科全书	bkqu
病人	bkr
不堪入耳	bkre
病人	bkrf
不堪入目	bkrm
病容	bkrs
并入	bkru
宾客如云	bkry
病死	bks
病死	bksi
不看僧面看佛面	bksm
不可思议	bksy
病痛	bkt
病榻	bkta
病态	bktd
冰糖	bkth
兵团	bktr
病痛	bkts
病退	bktv
不可同日而语	bkty
饼	bku
冰上	bkuh
病逝	bkui
冰山	bkuj
屏	bkuk
冰霜	bkul
别开生面	bkum
兵书	bkuu
冰水	bkuv
不堪设想	bkux
兵种	bkv
冰镇	bkvf
病症	bkvg
不可捉摸	bkvm
兵种	bkvs
禀	bkw
并无	bkwu
并未	bkww
禀	bkwx
不开心	bkx
冰心	bkxb
并行	bkxk
冰箱	bkxl
冰鞋	bkxp
病休	bkxq
冰雪	bkxt
不可信其无	bkxw
不可想象	bkxx
不可以	bky
病因	bkyb
不可言传	bkyi
不堪一击	bkyj
兵营	bkyk
并用	bkys
并于	bkyu
不可一世	bkyu
不可言状	bkyv
不可言喻	bkyy
并有	bkyz
并在	bkz
不可造次	bkzc
并在	bkzd
饼子	bkzi
本来	bl
波澜不惊	blbj
不伦不类	blbl
不离不弃	blbq
表里不一	blby
不理睬	blc
不理睬	blcd
不吝赐教	blcj
白兰地	bld
波罗的海	bldh
白兰地	bldi
薄利多销	bldx
不劳而获	bleh
不露锋芒	blfm
拨乱反正	blfv
巴拉圭	blg
巴拉圭	blgv
博览会	blh
博览会	blhv
碧螺春	bli
百炼成钢	blig
鬓乱钗横	blih
半路出家	blij
兵临城下	blix
碧螺春	bliy
不了解	blj
兵来将挡	bljd
濒临绝境	bljj
不了解	bljp
不落窠臼	blkj
筚路蓝缕	blll
不了了之	bllv
爆冷门	blm
爆冷门	blmf
舶来品	blp
舶来品	blpb
步履蹒跚	blpu
保龄球	blq
保龄球	blqq
壁立千仞	blqr
博览群书	blqu
病来如山倒	blrd
表里如一	blry
布鲁塞尔	blse
巴勒斯坦	blst
壁垒森严	blsy
柏拉图	blt
柏拉图	bltu
百里挑一	blty
比利时	blu
比利时	blui
不露声色	blus
不吝指教	blvj
波澜壮阔	blvk
芭蕾舞	blw
逼良为娼	blwi
步履维艰	blwj
芭蕾舞	blwu
包罗万象	blwx
别来无恙	blwy
暴露无遗	blwy
半老徐娘	blxn
不利于	bly
不留余地	blyd
不利于	blyu
布朗族	blz
布朗族	blzu
边	bm
鳊	bma
鳊	bmac
不明白	bmb
不明不白	bmbb
编报	bmbc
辩白	bmbd
辩驳	bmbo
辨别	bmbp
遍布	bmbu
苄	bmc
苄	bmcb
辩才	bmcd
鞭策	bmce
辩词	bmci
便餐	bmcj
汴	bmd
变大	bmda
汴	bmdb
编导	bmdc
变得	bmde
便当	bmdh
贬低	bmdi
扁担	bmdj
编订	bmdk
变调	bmdn
变动	bmds
编队	bmdv
本末倒置	bmdv
卞	bmdx
扁豆	bmdz
不谋而合	bmeh
变法	bmfa
边锋	bmfg
边防	bmfh
便饭	bmfj
蝙蝠	bmfu
鞭	bmg
闭门羹	bmg
变革	bmge
变更	bmgg
边关	bmgr
变故	bmgu
变卦	bmgx
扁	bmh
编号	bmhc
鞭痕	bmhf
变坏	bmhk
变换	bmhr
辩护	bmhu
便会	bmhv
变化	bmhx
蝙	bmi
变差	bmia
蝙	bmic
变成	bmig
边陲	bmiv
边界	bmj
编辑	bmji
边境	bmjk
边疆	bmjl
边检	bmjm
变焦	bmjn
便捷	bmjp
编剧	bmju
贬	bmk
匾	bmkc
便可	bmke
贬	bmkf
变快	bmkk
边框	bmkl
辩	bml
辫	bml
变老	bmlc
变了	bmle
变冷	bmlg
便利	bmli
变量	bmll
八面玲珑	bmll
变脸	bmlm
辨	bmlu
辩论	bmly
编码	bmm
编码	bmma
便民	bmmb
变卖	bmmd
边门	bmmf
便秘	bmmi
变慢	bmmj
辨明	bmmk
本命年	bmn
班门弄斧	bmnf
本命年	bmnm
变暖	bmnr
不瞒你说	bmnu
变频	bmpb
鞭炮	bmpc
编排	bmpd
变盘	bmpj
扁平	bmpk
变迁	bmq
变强	bmql
变迁	bmqm
扁鹊	bmqt
编曲	bmqu
不谋其政	bmqv
边卡	bmqx
便	bmr
辨认	bmrf
便	bmrg
编入	bmru
编	bms
弁	bmsc
边塞	bmsd
变色	bmse
闭门思过	bmsg
变速	bmsu
贬损	bmsy
变态	bmt
鞭挞	bmta
变态	bmtd
变体	bmti
变天	bmtm
便条	bmtn
变通	bmts
砭	bmu
变身	bmuf
边上	bmuh
变数	bmuu
不毛之地	bmvd
编者	bmve
变阵	bmvf
辩证	bmvg
编制	bmvi
便装	bmvl
编撰	bmvr
变种	bmvs
编著	bmvu
百忙之中	bmvv
拔苗助长	bmvv
不明真相	bmvx
北美洲	bmvz
变	bmw
编外	bmwd
八面威风	bmwf
编舞	bmwu
表面文章	bmwv
变为	bmww
变	bmwy
白马王子	bmwz
变心	bmxb
宝马香车	bmxi
变形	bmxk
变相	bmxl
变现	bmxm
变小	bmxn
编写	bmxp
兵马俑	bmy
变压	bmya
遍野	bmye
变样	bmyh
编译	bmyi
边沿	bmyj
不名一钱	bmyq
边缘	bmyr
兵马俑	bmys
便于	bmyu
便有	bmyz
遍	bmz
编造	bmzc
辫子	bmzi
闭门造车	bmzi
边	bmzl
变作	bmzo
编纂	bmzr
编组	bmzu
不鸣则已	bmzy
表	bn
表白	bnbd
标本	bnbf
标榜	bnbh
标兵	bnbk
不男不女	bnbn
百年不遇	bnby
表达	bnd
表达	bnda
表带	bndd
标的	bndi
百年大计	bndj
标点	bndm
不耐烦	bnf
不耐烦	bnfj
表	bnfy
表格	bng
表格	bnge
标杆	bngj
彪	bnh
彪悍	bnhj
彪	bnhp
裱糊	bnhu
标出	bni
飙车	bnie
百鸟朝凤	bnif
标尺	bnii
标出	bniu
镖	bnj
不念旧恶	bnje
镳	bnjh
标记	bnji
表姐	bnjp
表舅	bnjq
表决	bnjt
镖局	bnju
标价	bnjx
表露	bnl
表链	bnlm
表露	bnlu
标	bnm
巴拿马	bnma
表明	bnmk
表面	bnmm
表妹	bnmw
骠	bnmx
婊	bnn
表内	bnnw
百年难遇	bnny
膘	bno
膘	bnox
裱	bnp
表皮	bnpi
标配	bnpw
裱	bnpy
飙	bnq
表亲	bnqb
表情	bnqk
标枪	bnql
标签	bnqm
飙	bnqx
表嫂	bns
表嫂	bnsc
饱暖思淫欲	bnsy
标题	bnt
表态	bntd
标题	bnti
表头	bntz
标识	bnu
搬弄是非	bnuf
飙升	bnug
表示	bnui
表率	bnuk
百年树人	bnur
表述	bnuu
标识	bnv
表针	bnvf
表彰	bnvh
标志	bnvi
标注	bnvu
标准	bnvy
表外	bnw
表外	bnwd
表现	bnx
笨鸟先飞	bnxf
表形	bnxk
表象	bnxl
表现	bnxm
表兄	bnxs
不难想象	bnxx
表演	bny
表页	bnye
表扬	bnyh
表演	bnyj
标语	bnyu
标有	bnyz
婊子	bnz
不能自拔	bnzb
婊子	bnzi
不能自已	bnzy
拨	bo
博爱	boa
博爱	boai
帛	bob
播报	bobc
帛	bobj
薄冰	bobk
伯伯	bobo
薄	boc
薄	bocc
菠菜	bocd
蕃	boct
菠	bocy
波	bod
拨打	boda
泊	bodb
波导	bodc
博得	bode
渤	bodl
剥掉	bodn
剥夺	bodo
波段	bodr
波动	bods
波	body
搏斗	bodz
波恩	boe
波恩	boen
播	bof
播发	bofa
搏	bofc
拨	bofd
播放	bofh
播	boft
拨付	bofu
剥光	bogl
拨号	boh
拨号	bohc
渤海	bohd
薄荷	bohe
驳回	bohv
波黑	bohw
播出	boi
波长	boih
驳斥	boii
播出	boiu
铂	boj
钵	bojb
钹	bojd
波及	boji
跛脚	bojn
伯爵	bojt
啵	bok
拨开	bokd
博客	boke
拨款	bokr
啵	boky
卜	bol
柏林	bolb
卜	bold
伯乐	bole
波浪	bolh
玻璃	boli
波澜	bolj
菠萝	bolo
柏	bom
柏	bomb
薄命	bomk
薄面	bomm
伯母	bomu
驳	bomx
拨弄	bon
拨弄	bons
膊	boo
膊	booc
脖	booz
剥皮	bop
剥皮	bopi
博取	boq
勃起	boqi
博取	boqu
伯	bor
伯	borb
薄弱	boro
播送	bos
播撒	bosa
波斯	bosi
播送	boss
波涛	bot
波涛	botc
拨通	bots
博	bou
搏杀	boua
礴	bouc
博士	boui
勃	boul
檗	boum
擘	bouu
饽	bouz
剥	bov
箔	bov
舶	bovb
剥	bovd
波折	bove
播种	bovs
簸	bovy
玻	bow
波纹	bowf
亳	bowq
泊位	boww
玻	bowy
博学	box
剥削	boxt
剥下	boxx
博弈	boy
播音	boyb
博弈	boyi
播映	boyk
跛	boz
脖子	bozi
跛足	bozu
跛	bozy
别	bp
瘪	bpb
别把	bpba
瘪	bpbb
不偏不倚	bpby
憋	bpd
鳖	bpda
别的	bpde
蹩	bpdr
别动	bpds
憋	bpdx
别管	bpg
别国	bpgo
别管	bpgr
不平衡	bph
别号	bphc
不平衡	bphg
别慌	bphl
别后	bphz
别吵	bpi
别吵	bpic
别称	bpig
别处	bpiu
别急	bpj
别急	bpji
蹩脚	bpjn
别家	bpjx
别	bpk
别	bpkd
别克	bpke
别看	bpkj
别哭	bpku
别离	bpl
别来	bpld
别了	bple
别离	bpli
杯盘狼藉	bplj
别论	bply
别忙	bpm
憋闷	bpmf
别忙	bpmh
别名	bpmk
别扭	bpn
别闹	bpnc
别扭	bpnq
别弄	bpns
别怕	bpp
别怕	bppa
别跑	bppc
别碰	bppg
憋屈	bpq
憋气	bpqi
别去	bpqu
别人	bpr
别人	bprf
别让	bprh
憋死	bps
憋死	bpsi
别提	bpt
别提	bpti
白皮书	bpu
别傻	bpua
别上	bpuh
别说	bpuo
别墅	bpuu
别手	bpuz
别致	bpv
憋着	bpve
别针	bpvf
别致	bpvi
别传	bpvr
别忘	bpw
别问	bpwf
别忘	bpwh
别为	bpww
别想	bpx
别想	bpxl
别笑	bpxn
别用	bpy
别样	bpyh
别用	bpys
别再	bpz
别再	bpzd
别字	bpzi
憋足	bpzu
别走	bpzz
并且	bq
不欺暗室	bqau
不清不楚	bqbi
不屈不挠	bqbn
不期而至	bqev
不期而遇	bqey
毕其功于一役	bqgy
不清楚	bqi
不清楚	bqiu
冰淇淋	bql
冰淇淋	bqlb
鼻青脸肿	bqlv
兵强马壮	bqmv
屏气凝神	bqnu
不求人	bqr
不求人	bqrf
避其锐气	bqrq
版权所有	bqsy
包青天	bqt
包青天	bqtm
不求甚解	bqu
不切实际	bquj
不求甚解	bquj
搬起石头	bqut
不情之请	bqvq
不起眼	bqy
不求有功	bqyg
冰清玉洁	bqyj
不然	br
勃然变色	brbs
不仁不义	brby
勃然大怒	brdn
病入膏肓	brgh
白热化	brh
步人后尘	brhi
不入虎穴	brhx
不入虎穴焉得虎子	brhz
步入正轨	brvg
不容置喙	brvh
不容置疑	brvy
兵戎相见	brxj
不容易	bry
不容易	bryi
不容有失	bryu
不忍卒读	brzd
白日做梦	brzm
比赛	bs
半死不活	bsbh
不死不活	bsbh
百思不解	bsbj
不三不四	bsbs
不思悔改	bshg
不思进取	bsjq
变色龙	bsl
巴塞罗那	bsln
变色龙	bsls
不算数	bsu
不算数	bsuu
不速之客	bsvk
波斯湾	bsw
波斯湾	bswj
必死无疑	bswy
不死心	bsx
不死心	bsxb
不同	bt
不痛不痒	btb
半推半就	btbj
不吐不快	btbk
不痛不痒	btby
拜天地	btd
拜天地	btdi
不太对劲	btdj
八抬大轿	btdj
白头到老	btdl
半途而废	btef
不同凡响	btfx
白天黑夜	bthy
遍体鳞伤	btlu
半透明	btm
半透明	btmk
悲天悯人	btmr
暴跳如雷	btrl
抱头痛哭	bttk
暴殄天物	bttw
半桶水	btu
抱头鼠窜	btuc
半桶水	btuv
冰天雪地	btxd
白头偕老	btxl
波涛汹涌	btxy
不同意	bty
不同意	btyi
悲痛欲绝	btyj
部	bu
不	bua
不	buad
不安	buan
不是吧	bub
不是吧	buba
不败	bubd
不笨	bubf
不必	bubi
补办	bubj
笨手笨脚	bubj
步兵	bubk
不变	bubm
半身不遂	bubs
匐	bubt
半生不熟	bubu
不备	bubw
不声不响	bubx
比上不足比下有余	buby
比上不足	bubz
不测	buce
不曾	bucg
补仓	buch
不辞	buci
不错	buco
不但	bud
不大	buda
不到	budc
板上钉钉	budd
不得	bude
不等	budg
不当	budh
不敌	budi
不但	budj
补丁	budk
不多	budo
不断	budr
不懂	buds
不对	budv
不都	budz
不二	bue
不二	buer
捕	buf
步伐	bufa
部分	buff
不妨	bufh
不凡	bufj
不符	bufu
不菲	bufw
饱受非议	bufy
不管	bug
不高	bugc
不该	bugd
不跟	bugf
不敢	bugj
不怪	bugk
不光	bugl
不过	bugo
不管	bugr
不顾	bugu
不贵	bugv
不给	bugw
不够	bugz
不会	buh
不好	buhc
不识好歹	buhd
不和	buhe
不很	buhf
班师回朝	buhi
不含	buhj
不坏	buhk
不慌	buhl
捕获	buho
不还	buhr
不会	buhv
不识好人心	buhx
补充	bui
不差	buia
不成	buig
补偿	buih
不迟	buii
补充	buis
不出	buiu
杯水车薪	buix
不愁	buiz
钚	buj
备受煎熬	buja
不仅	bujb
不急	buji
布景	bujk
部件	bujm
不解	bujp
不久	bujq
补救	bujq
不觉	bujt
布局	buju
哺	buk
卟	bukb
补考	bukc
补课	buke
不肯	bukf
宝山空回	bukh
不堪	bukj
不快	bukk
百事可乐	bukl
不哭	buku
不愧	bukv
卜	bul
捕捞	bulc
不来	buld
部	bule
不冷	bulg
不理	buli
不灵	bulk
不良	bull
不料	buln
部落	bulo
捕猎	bulp
不留	bulq
备受凌辱	bulr
逼上梁山	bulu
步履	bulv
不累	bulw
不论	buly
补漏	bulz
不卖	bum
补码	buma
不买	bumd
部门	bumf
不忙	bumh
不满	bumj
不胜枚举	bumj
不明	bumk
不免	bumm
不妙	bumn
不灭	bump
不能	bun
不能	bung
不难	bunj
补	bup
不怕	bupa
补品	bupb
布匹	bupi
不平	bupk
补票	bupn
不配	bupw
补全	buq
不胜其烦	buqf
白手起家	buqj
步枪	buql
不巧	buqn
不求	buqq
不全	buqr
不缺	buqt
不去	buqu
冰释前嫌	buqx
堡	bur
不热	bure
不忍	burf
不让	burh
不日	buri
不然	burj
不容	burs
不如	buru
不胜荣幸	burx
不算	bus
不死	busi
不算	busr
不送	buss
埠	but
埔	butf
不疼	butg
不提	buti
不识抬举	butj
不停	butk
不妥	buto
补贴	butp
不同	buts
不图	butu
布	buu
捕杀	buua
不少	buuc
不慎	buuf
不胜	buug
补上	buuh
不是	buui
布	buuj
不爽	buul
不说	buuo
部署	buuu
跋山涉水	buuu
补水	buuv
不识时务	buuw
不顺	buuy
部首	buuz
步	buv
簿	buvc
部长	buvh
布置	buvi
捕捉	buvo
步	buvp
饱食终日	buvr
补助	buvu
不时之需	buvx
不准	buvy
步骤	buvz
不失为	buw
不外	buwd
不问	buwf
不忘	buwh
不玩	buwj
榜上无名	buwm
不无	buwu
部位	buww
必输无疑	buwy
怖	bux
不信	buxb
不惜	buxi
怖	buxj
不行	buxk
不想	buxl
不限	buxm
不小	buxn
不屑	buxp
不朽	buxq
不许	buxu
不下	buxx
不逊	buxy
不雅	buya
不说也罢	buyb
不要	buyc
补养	buyh
不宜	buyi
不应	buyk
榜上有名	buym
不愿	buyr
不用	buys
不悦	buyt
不予	buyu
背水一战	buyv
败事有余	buyy
不由	buyz
逋	buz
不在	buzd
逋	buzf
步子	buzi
不做	buzo
不足	buzu
保证	bv
不着边际	bvb
百战不殆	bvbd
百折不回	bvbh
不知不觉	bvbj
不着边际	bvbj
不折不扣	bvbk
保质保量	bvbl
百折不挠	bvbn
百战百胜	bvbu
半遮半掩	bvby
不知道	bvd
不知道	bvdc
不值得	bvde
不战而胜	bveu
不知好歹	bvhd
白纸黑字	bvhz
不支持	bvi
不支持	bvii
保证金	bvj
保证金	bvjb
不知就里	bvjl
避重就轻	bvjq
不知进退	bvjt
不置可否	bvkf
不知名	bvm
不知名	bvmk
不值钱	bvq
不知其二	bvqe
不值钱	bvqm
不知轻重	bvqv
宾至如归	bvrg
不知所措	bvsc
不知所终	bvsv
不知所云	bvsy
不中听	bvt
不知天高地厚	bvth
不中听	bvtk
不只是	bvu
不只是	bvui
不知深浅	bvuq
必争之地	bvvd
不正之风	bvvf
伯仲之间	bvvj
不治之症	bvvv
不知者不罪	bvvz
不知羞耻	bvxi
不至于	bvy
不止于此	bvyc
不值一提	bvyt
不值一哂	bvyu
不长一智	bvyv
秉烛夜游	bvyy
敝帚自珍	bvzv
被	bw
悲哀	bwa
悲哀	bwai
备案	bwan
卑鄙	bwb
背包	bwbc
不温不火	bwbh
卑鄙	bwbi
百闻不如一见	bwbj
北边	bwbm
北部	bwbu
不闻不问	bwbw
蓓	bwc
悲惨	bwcj
蓓	bwck
北大	bwd
北大	bwda
被盗	bwdc
背带	bwdd
被单	bwdj
被动	bwds
背对	bwdv
北斗	bwdz
陂	bwe
陂	bwey
悲	bwf
备份	bwff
北风	bwfg
北方	bwfh
辈	bwfi
背负	bwfu
北非	bwfw
悲	bwfx
博物馆	bwg
被告	bwgc
悲歌	bwge
倍感	bwgj
背光	bwgl
北国	bwgo
悲观	bwgr
不无关系	bwgx
焙	bwh
备好	bwhc
北海	bwhd
焙	bwhk
悲欢	bwhr
不外乎	bwhu
背后	bwhz
备查	bwi
备查	bwia
悲怆	bwil
别无长物	bwiw
悲愁	bwiz
背景	bwj
北极	bwji
百无禁忌	bwjj
北京	bwjk
卑贱	bwjm
钡	bwjr
悲剧	bwju
倍加	bwjx
呗	bwk
背靠	bwkc
贝壳	bwke
贝	bwkr
悲苦	bwku
被困	bwky
被扣	bwkz
北	bwl
北	bwlb
贝勒	bwle
背离	bwli
百无聊赖	bwll
背	bwlo
卑劣	bwlp
北路	bwlu
蓓蕾	bwlw
悖论	bwly
杯	bwm
杯	bwmb
北门	bwmf
悲鸣	bwmk
背面	bwmm
北美	bwmw
北欧	bwo
北欧	bwou
卑	bwp
背叛	bwpj
北平	bwpk
被骗	bwpm
被迫	bwpo
卑	bwpu
被	bwpy
狈	bwq
背起	bwqi
博闻强记	bwqj
悲情	bwqk
被抢	bwql
悲切	bwqp
狈	bwqr
博闻强识	bwqv
倍	bwr
倍	bwrk
被褥	bwru
背诵	bws
别无所求	bwsq
背诵	bwss
悲痛	bwt
被套	bwtc
备胎	bwtd
别无他法	bwtf
悲叹	bwtj
悲痛	bwts
别无他物	bwtw
被偷	bwtz
碑	bwu
被杀	bwua
悲伤	bwuh
碚	bwuk
臂	bwuo
背书	bwuu
备受	bwuz
备注	bwv
背着	bwve
北站	bwvj
悲壮	bwvl
备注	bwvu
不务正业	bwvy
备	bww
碑文	bwwf
备忘	bwwh
被窝	bwwo
不为瓦全	bwwq
备	bwwt
卑微	bwww
惫	bwwx
不为五斗米折腰	bwwy
悖	bwx
背心	bwxb
悲喜	bwxi
背向	bwxl
备选	bwxr
别无选择	bwxz
备用	bwy
霸王硬上弓	bwyg
北洋	bwyh
背影	bwyk
备用	bwys
北约	bwyt
百无一是	bwyu
百无一用	bwyy
备有	bwyz
倍增	bwz
倍增	bwzg
被子	bwzi
必须	bx
白雪皑皑	bxaa
便携版	bxb
不许百姓点灯	bxbd
不修边幅	bxbf
不徐不疾	bxbj
本乡本土	bxbt
半信半疑	bxby
冰雪聪明	bxcm
不虚此行	bxcx
博学多才	bxdc
彪形大汉	bxdh
碧血丹心	bxdx
败兴而归	bxeg
不相符	bxf
不相符	bxfu
不习惯	bxg
不惜工本	bxgb
兵行诡道	bxgd
八仙过海	bxgh
不习惯	bxgr
不喜欢	bxh
不稀罕	bxhj
不喜欢	bxhr
不像话	bxhx
不相称	bxi
不相称	bxif
笔下超生	bxiu
抱薪救火	bxjh
悲喜交集	bxjj
不行了	bxl
不行了	bxle
必先利其器	bxlq
标新立异	bxly
本性难移	bxny
必需品	bxp
必需品	bxpb
保修期	bxq
保修期	bxqi
避凶趋吉	bxqj
败絮其中	bxqv
背信弃义	bxqy
不省人事	bxru
不徇私情	bxsq
八小时	bxu
八小时	bxui
不相上下	bxux
不祥之兆	bxvv
冰消瓦解	bxwj
不相为谋	bxwm
不学无术	bxwu
不相信	bxx
不相信	bxxb
不需要	bxy
不需要	bxyc
不屑一顾	bxyg
不限于	bxyu
比下有余	bxyy
不肖子孙	bxzs
必要	by
不一般	byb
不一般	bybj
不依不饶	bybr
百依百顺	bybu
不阴不阳	byby
贬义词	byc
褒义词	byci
不一定	byd
不一定	bydk
别有洞天	bydt
不翼而飞	byef
不约而同	byet
不言而喻	byey
不一而足	byez
不由分说	byfu
别有风味	byfw
不应该	byg
不应该	bygd
边缘化	byh
必有后福	byhf
边缘化	byhx
不要紧	byj
不要紧	byjb
不宜久留	byjl
拨云见日	byjr
不要脸	byl
不予理睬	bylc
不亦乐乎	bylh
不要脸	bylm
饱以老拳	bylq
比翼连枝	bylv
比翼鸟	byn
比翼鸟	bynn
布宜诺斯艾利斯	byns
不厌其烦	byqf
半夜三更	bysg
别有天地	bytd
比翼双飞	byuf
不一致	byv
不义之财	byvc
不一致	byvi
布衣之交	byvj
必由之路	byvl
不予置评	byvp
本以为	byw
不以为耻	bywi
不远万里	bywl
不以为然	bywr
本以为	byww
不以为意	bywy
不允许	byx
闭月羞花	byxh
败也萧何	byxh
必要性	byxk
不影响	byxl
不用谢	byxp
不允许	byxu
不一样	byy
不一样的	byyd
不一样	byyh
不遗余力	byyl
不亚于	byyu
别有用心	byyx
布依族	byz
布依族	byzu
不由自主	byzv
不再	bz
不早不晚	bzbw
不在此列	bzcl
不足挂齿	bzgi
不在乎	bzh
不在乎	bzhu
不在话下	bzhx
不自觉	bzj
不自觉	bzjt
不在了	bzl
不在了	bzle
不自量力	bzll
笔走龙蛇	bzlu
不怎么	bzm
不怎么	bzme
八字没一撇	bzmp
不怎么样	bzmy
抱子弄孙	bzns
不足取	bzq
不足取	bzqu
不在其位	bzqw
不择手段	bzud
百足之虫	bzvi
不作为	bzw
不足为外人道	bzwd
不足为据	bzwj
败则为寇	bzwk
不足为虑	bzwl
不足为凭	bzwp
不足为奇	bzwq
不作为	bzww
不足为训	bzwx
奔走相告	bzxg
不在于	bzy
不足以	bzyi
不足与谋	bzym
不在于	bzyu
不自在	bzz
不自在	bzzd
才	c
擦	ca
擦背	cab
擦边	cabm
擦背	cabw
擦擦	cac
擦擦	caca
擦掉	cad
擦掉	cadn
擦	caf
擦	cafx
擦干	cag
擦干	cagj
擦汗	cah
擦痕	cahf
擦汗	cahj
擦除	cai
擦除	caiu
嚓	cak
嚓	cakx
擦亮	cal
擦亮	call
擦破	cap
擦破	capo
擦伤	cau
擦身	cauf
擦伤	cauh
擦拭	caui
擦着	cav
擦着	cave
擦洗	cax
擦洗	caxi
从不	cb
残兵败将	cbbj
寸步不离	cbbl
残暴不仁	cbbr
残编断简	cbdj
词不达意	cbdy
猝不及防	cbjf
错不了	cbl
错不了	cbln
残杯冷炙	cblv
寸步难行	cbnx
擦边球	cbq
擦边球	cbqq
惨不忍睹	cbrd
才不是	cbu
才不是	cbui
错别字	cbz
错别字	cbzi
草	cc
曹	cca
草案	ccan
曹	ccao
草包	ccb
草包	ccbc
措辞不当	ccbd
草本	ccbf
操办	ccbj
寸草不留	ccbl
参差不齐	ccbq
寸草不生	ccbu
草	ccc
曹操	cccc
参差错落	cccl
草丛	cccs
草	cccu
漕	ccd
操刀	ccdc
草地	ccdi
操蛋	ccdj
璀璨夺目	ccdm
漕	ccdo
草堆	ccdv
操	ccf
操	ccfm
草稿	ccg
草稿	ccgc
草根	ccgf
操场	ccih
操持	ccii
草创	ccil
草芥	ccj
草芥	ccjp
嘈	cck
嘈	ccko
操控	ccks
草寇	cckz
操劳	ccl
操劳	cclc
操练	cclm
草料	ccln
草草了事	cclu
